名子,經緯度,平台,連結,Google Map,種類,縣市,鄉鎮區
周家豆腐捲,"25.036381, 121.5600247",Facebook,https://www.facebook.com/reel/8567579876675518,https://maps.app.goo.gl/uXW2gSeWeKke7wrY9,小吃,台北市,信義區
梅子鰻蒲燒專賣店,"25.0501842, 121.5253369",Facebook,https://www.facebook.com/reel/546393728393248,https://maps.app.goo.gl/4RdbRR3w65CjvMm77,日料,台北市,中山區
見晴懷古步道,"24.5051895, 121.5256882",Facebook,https://www.facebook.com/reel/1136815124688316,https://maps.app.goo.gl/EPAPQWJSrTb4X8as5,健行,宜蘭縣,大同鄉
南子吝步道,"25.1201398, 121.887539",Facebook,https://www.facebook.com/reel/1136815124688316,https://maps.app.goo.gl/5kJuwK3TJPXTEEXS7,健行,新北市,瑞芳區
拉拉山神木群步道,"24.710668, 121.4377528",Facebook,https://www.facebook.com/reel/1136815124688316,https://maps.app.goo.gl/nEPHhKSYVAjfksWMA,健行,桃園市,復興區
鶯歌石登山步道,"24.958236, 121.3596331",Facebook,https://www.facebook.com/reel/1136815124688316,https://maps.app.goo.gl/RDhq9NxASVNrTK2y6,健行,新北市,鶯歌區
神仙谷,"24.545852, 121.030458",Facebook,https://www.facebook.com/reel/1136815124688316,https://maps.app.goo.gl/DyfACpEF7bKWaqQs6,戶外景點,苗栗縣,南庄鄉
大坑9號登山步道,"24.1800447, 120.733227",Facebook,https://www.facebook.com/reel/1136815124688316,https://maps.app.goo.gl/Sawp3p5ry93A6Nyk6,健行,台中市,北屯區
新田登山步道,"24.2144184, 120.7379312",Facebook,https://www.facebook.com/reel/1136815124688316,https://maps.app.goo.gl/nMSRgjG2nB45eans6,健行,台中市,潭子區
桃源谷步道內寮線,"24.9712235, 121.8911802",Facebook,https://www.facebook.com/reel/1136815124688316,https://maps.app.goo.gl/aw3QW385nf6u8jrg8,健行,新北市,貢寮區
台中東旅,"24.1404239, 120.68168",Facebook,https://www.facebook.com/reel/9690067551023503,https://maps.app.goo.gl/iGzaBcqaosqo4rtB9,住宿,台中市,中區
木子李,"24.93452766498466, 121.36864896251731",Facebook,https://www.facebook.com/reel/9318439724861678,https://maps.app.goo.gl/w2omkA1g83KinjqB9,小吃,新北市,三峽區
老塘湖藝術村,"23.2191779, 120.2061603",Facebook,https://www.facebook.com/reel/1338562567314994,https://maps.app.goo.gl/q4cn7ii5PbMfLTjD8,戶外景點,台南市,學甲區
萍姐酸菜麵,"25.0460386, 121.5046526",Facebook,https://www.facebook.com/reel/1718826052180569,https://maps.app.goo.gl/7b3ebTZ18ok5dLFw5,小吃,台北市,萬華區
古月香熬粹牛肉麵,"25.1247953, 121.7193912",Facebook,https://www.facebook.com/reel/652524090598880,https://maps.app.goo.gl/Qt2ctySkbzZFXvqu9,牛肉麵,基隆市,安樂區
久千代海鮮百匯餐廳,"24.7500707, 121.7455849",Facebook,https://www.facebook.com/reel/1010248070979378,https://maps.app.goo.gl/1TkG7eo9ruGcLFtC9,buffet,宜蘭縣,宜蘭市
外省牛肉麵,"24.561691, 120.7080446",Facebook,https://www.facebook.com/reel/672920558497238,https://maps.app.goo.gl/rY4nSNpMRnuXt9BP7,牛肉麵,苗栗縣,通霄鎮
鰻天下,"25.1142529, 121.2432571",Facebook,https://www.facebook.com/reel/674086665283895,https://maps.app.goo.gl/xLLgeC8Tn2eNsvb7A,海鮮/生魚片,桃園市,大園區
黑輝伯滷肉飯 ,"25.2048121, 121.4489954",Facebook,https://www.facebook.com/reel/3598824180415785,https://maps.app.goo.gl/ev5JnWkzxmSoR9Zz8,小吃,新北市,淡水區
紅磚園邸,"24.9750072, 121.4196847",Facebook,https://www.facebook.com/reel/1315533402921151,https://maps.app.goo.gl/SEcfkj1QmnK7E9Np9,動物餐廳,新北市,樹林區
食一碗秋香,"24.942314581158833, 121.25171033351292",Facebook,https://www.facebook.com/reel/2023202211523129,https://maps.app.goo.gl/NnjAsNy64Vn3v8ev6,小吃,桃園市,中壢區
小慧涼麵店,"25.0187831, 121.5511605",Facebook,https://www.facebook.com/reel/1405296897278812,https://maps.app.goo.gl/xVU9Rm2RMrFQrYD49,小吃,台北市,大安區
柳川屋麵包店,"24.1472677, 120.6687061",Facebook,https://www.facebook.com/reel/1797794434409517,https://maps.app.goo.gl/p7QPS6hLjR5TZ5298,冰品 / 甜點,台中市,西區
